City,State,Percent with Heart Attack,High Blood Pressure,High Cholesterol,Diabetes,Depression,Obesity,Elevation
Asheville,NC,4.8,31.4,28.5,10.6,19.1,24.1,"2,134'"
Fayetteville,NC,5,33.7,25.9,12.3,21.6,27.4,263'
Hickory,NC,6.3,38.8,30.1,16.8,23.4,34.9,"1,188'"
Lenoir,NC,6.3,38.8,30.1,16.8,23.4,34.9,"1,171'"
Morganton,NC,6.3,38.8,30.1,16.8,23.4,34.9,"1,161'"
Omaha,NE,3.2,25.4,23.4,9.4,16.2,31.4,"1,089'"
Lincoln,NE,4.3,22.2,24.6,8.5,17.5,26.6,"1,176'"
Newton,NH,3.2,25.8,24.7,9.2,17.5,22.2,194'
Manchester,NH,3.3,22.9,19.4,8.3,15.7,28,210'
Nashua,NH,3.3,22.9,19.4,8.3,15.7,28,151'
Trenton,NJ,3,26.6,24.5,9.9,15.3,24.6,49'
Newark,NJ,3.1,27.5,24.9,10.8,14.1,24.4,13'
Jersey City,NJ,3.1,27.5,24.9,10.8,14.1,24.4,20'
Albuquerque,NM,3.4,26.7,20.9,11.7,21,23.6,"5,312'"
Reno,NV,3.9,29.1,23,9.5,19.5,23.6,"4,506'"
Las Vegas,NV,4.8,28.3,22.1,11,15.9,26,"2,001'"
Henderson,NV,4.8,28.3,22.1,11,15.9,26,"1,867'"
Paradise,NV,4.8,28.3,22.1,11,15.9,26,"2,057'"
New York,NY,3.1,27.5,24.9,10.8,14.1,24.4,33'
Syracuse,NY,3.2,29.8,24,11,19.7,29.1,380'
Binghamton,NY,3.5,30.2,24.1,10.3,11.7,25.8,850'
Rochester,NY,3.6,30.5,25,13.1,19.4,29.1,505'
Albany,NY,4.2,31.6,28.5,12.1,17.3,26.7,1456'
Schenectady,NY,4.2,31.6,28.5,12.1,17.3,26.7,312'
Troy,NY,4.2,31.6,28.5,12.1,17.3,26.7,23'
Utica,NY,4.9,31.7,25.8,13.1,16.5,26.8,456'
Rome,NY,4.9,31.7,25.8,13.1,16.5,26.8,456'
Buffalo,NY,6,32,29.9,13.3,17.2,28,600'
Cheektowaga,NY,6,32,29.9,13.3,17.2,28,662'
Niagara Falls,NY,6,32,29.9,13.3,17.2,28,614'
Akron,OH,3.8,28.1,21.3,10.6,15.9,28.4,"1,004'"
Cleveland,OH,3.9,29.5,24.7,11.3,19.7,28.1,653'
Elyria,OH,3.9,29.5,24.7,11.3,19.7,28.1,715'
Toledo,OH,4,32.8,24.4,14.9,21.7,30.2,614'
Columbus,OH,4.7,30.1,24.8,13.7,20.5,30.6,902'
Dayton,OH,4.8,33.4,27.1,13.1,18.1,32.7,738'
Cincinnati,OH,4.9,33.4,26.4,12.3,20.1,29.7,482'
Canton,OH,5.1,33,25.4,12,15.9,32.5,"1,060'"
Massillon,OH,5.1,33,25.4,12,15.9,32.5,948'
Youngstown,OH,7.4,36.6,33.4,15.1,22.4,35.1,850'
Warren,OH,7.4,36.6,33.4,15.1,22.4,35.1,893
